district,underground,street,house_number,floor,floors_count,total_meters,living_meters,kitchen_meters,rooms_count,year_construction,house_material_type,heating_type,price_per_month,commissions,author,author_type,phone,url,full_address,lat,lon,nearest_metro,metro_distance_m
Хамовники,Киевская, Плющиха,42,7,9,45.0,,,1,,,,95000,0,МИЭЛЬ,real_estate_agent,,https://www.cian.ru/rent/flat/317615713/,"Москва,  Плющиха, 42",55.7411713,37.5763858,Смоленская,786.6939512231874
Кунцево,Молодёжная,Молодогвардейская ,24,22,25,38.0,,,1,,,,50000,0,Александр Евдокимов,realtor,,https://www.cian.ru/rent/flat/317615696/,"Москва, Молодогвардейская , 24",55.7352692,37.4201549,Молодёжная,650.8440883301934
,Прокшино,проспект Прокшинский,7,12,16,40.0,,,1,,,,70000,0,АЛЬФА,real_estate_agent,,https://www.cian.ru/rent/flat/317615623/,"Москва, проспект Прокшинский, 7",55.5925752,37.4327039,Прокшино,724.8462556346656
Лефортово,Серп и Молот,Волочаевская ,15,2,14,45.0,,,1,,,,48000,0,ПАРТНЕР,real_estate_agent,,https://www.cian.ru/rent/flat/317615359/,"Москва, Волочаевская , 15",55.751362,37.6781256,Площадь Ильича,535.5121197809267
Очаково-Матвеевское,Аминьевская,Очаковское шоссе,9А,8,21,40.0,,,1,,,,85000,0,Денис Мастяев,realtor,,https://www.cian.ru/rent/flat/317615302/,"Москва, Очаковское шоссе, 9А",55.6870933,37.4422349,Аминьевская,1781.645869480204
Северный,Физтех,9-я Северная линия,1К1,7,17,38.0,,,1,,,,50000,0,ОХОТНЫЙ РЯД офис Тверская,real_estate_agent,,https://www.cian.ru/rent/flat/317615246/,"Москва, 9-я Северная линия, 1К1",55.9348493,37.5543369,Физтех,1655.4634866449867
Очаково-Матвеевское,Аминьевская,Большая Очаковская ,2К2,20,33,34.0,,,1,,,,95000,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317614588/,"Москва, Большая Очаковская , 2К2",55.6924617,37.4666244,Аминьевская,549.131880130423
Раменки,Аминьевская, Василия Ланового,3,4,16,44.0,,,1,,,,120000,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317614584/,"Москва,  Василия Ланового, 3",55.6955027,37.4783801,Мичуринский проспект,726.3737207339931
Пресненский,Москва-Сити,Шмитовский проезд,39к8,6,53,23.0,,,1,,,,110000,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317614583/,"Москва, Шмитовский проезд, 39к8",55.7522602,37.526628,Шелепиха,586.9452688319163
Пресненский,Москва-Сити,Шмитовский проезд,39к8,6,53,25.0,,,1,,,,110000,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317614578/,"Москва, Шмитовский проезд, 39к8",55.7522602,37.526628,Шелепиха,586.9452688319163
Пресненский,Москва-Сити,Шмитовский проезд,39к8,6,53,24.0,,,1,,,,110000,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317614575/,"Москва, Шмитовский проезд, 39к8",55.7522602,37.526628,Шелепиха,586.9452688319163
Москворечье-Сабурово,Варшавская,переулок 1-й Котляковский,4к1,11,24,46.0,,,1,,,,80000,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317614572/,"Москва, переулок 1-й Котляковский, 4к1",55.6519999,37.6307888,Варшавская,731.4047390635694
Войковский,Войковская, Зои и Александра Космодемьянских,9к1,2,5,32.5,,,1,,,,80000,0,Capital Mars,real_estate_agent,,https://www.cian.ru/rent/flat/317614567/,"Москва,  Зои и Александра Космодемьянских, 9к1",55.8212654,37.5100841,Войковская,798.3491542718293
Северное Тушино,Планерная, Вилиса Лациса,15,2,19,36.5,,,1,,,,50000,0,Династия Р,real_estate_agent,,https://www.cian.ru/rent/flat/317614441/,"Москва,  Вилиса Лациса, 15",55.8631182,37.4256608,Планерная                                                                               ,724.3343664859624
Отрадное,Отрадное, Декабристов,4К1,2,14,38.7,,,1,,,,55000,0,Домклик Аренда,real_estate_agent,,https://www.cian.ru/rent/flat/317614229/,"Москва,  Декабристов, 4К1",55.867087,37.5907348,Отрадное,970.7132265490073
Щукино,Октябрьское поле,Тепличный переулок,4,17,28,38.0,,,1,,,,90000,0,ID 239817,unknown,,https://www.cian.ru/rent/flat/317614138/,"Москва, Тепличный переулок, 4",55.7901836,37.496006,Октябрьское Поле                                                                        ,401.310022762314
Нагорный,Чертановская,Балаклавский проспект,12К3,4,17,39.0,,,1,,,,60000,0,РИВЬЕРА,real_estate_agent,,https://www.cian.ru/rent/flat/317613819/,"Москва, Балаклавский проспект, 12К3",55.6417357,37.6073883,Чертановская,144.2427429060123
Кунцево,Молодёжная, Академика Павлова,38к1,26,33,22.0,,,1,,,,65000,0,AGORA,real_estate_agent,,https://www.cian.ru/rent/flat/317613807/,"Москва,  Академика Павлова, 38к1",55.7447399,37.4068707,Молодёжная,762.4489031474869
