underground,street,floor,floors_count,total_meters,rooms_count,url,lat,lon,metro_distance_m,average_price,meters_per_room,is_large_apartment,price_log
Белорусская,Ленинградский проспект,2,7,68.0,3,https://www.cian.ru/rent/flat/317614606/,55.7784045,37.5766522,469.7448282360168,176491.0,22.666666666666668,0,74999.99999999996
Москва-Сити,1-й Красногвардейский проезд,25,78,96.0,3,https://www.cian.ru/rent/flat/317621575/,55.7519171,37.5342124,403.19557792387104,278657.0,32.0,1,319999.9999999998
Стрешнево,Береговая ,3,6,142.0,3,https://www.cian.ru/rent/flat/317621429/,55.8283043,37.4677476,1745.9882544854606,124769.0,47.333333333333336,1,269999.99999999977
Пролетарская, Симоновский Вал,3,9,33.0,1,https://www.cian.ru/rent/flat/317582573/,55.7231963,37.6645696,881.9509640757199,98953.0,33.0,0,74999.99999999996
Белорусская, Пресненский Вал,2,12,47.0,2,https://www.cian.ru/rent/flat/317575892/,55.7715152,37.571283,958.540451088178,278657.0,23.5,0,109999.99999999991
Текстильщики,Окская ,2,5,38.8,1,https://www.cian.ru/rent/flat/317596983/,55.70908,37.749197,1101.538218991023,56234.0,38.8,0,44999.999999999985
Пражская,Кировоградская ,11,12,63.2,3,https://www.cian.ru/rent/flat/317620684/,55.6076162,37.5962707,739.0011269330979,59227.0,21.066666666666666,0,69999.99999999994
Молодёжная,Ярцевская ,10,25,47.0,2,https://www.cian.ru/rent/flat/317614049/,55.7395397,37.4149905,180.57371844944083,92109.0,23.5,0,89999.99999999997
Аминьевская,Большая Очаковская ,23,33,45.0,2,https://www.cian.ru/rent/flat/317614585/,55.6924617,37.4666244,549.131880130423,97264.0,22.5,0,120000.00000000006
Пролетарская,Стройковская ,3,12,63.1,3,https://www.cian.ru/rent/flat/317579086/,55.7349607,37.6763366,604.303627501924,130354.0,21.033333333333335,0,149999.99999999994
Ботанический сад,Березовая аллея,3,8,32.0,1,https://www.cian.ru/rent/flat/317593610/,55.849331,37.6254453,944.3201433821883,85965.0,32.0,0,60000.00000000002
Люблино,Новороссийская ,1,9,16.0,1,https://www.cian.ru/rent/flat/317602196/,55.680256,37.759777,512.1770031098195,62600.0,16.0,0,47000.00000000002
Солнцево,Производственная ,12,18,39.7,1,https://www.cian.ru/rent/flat/317605588/,55.6457594,37.3855311,519.2768628276843,61958.0,39.7,0,65000.00000000002
Улица Сергея Эйзенштейна, Бориса Галушкина,11,14,54.0,2,https://www.cian.ru/rent/flat/317601964/,55.8247087,37.6518992,665.182783078254,105388.0,27.0,0,67999.99999999994
Улица 1905 года, Климашкина,1,4,69.0,3,https://www.cian.ru/rent/flat/317619703/,55.7685016,37.5665534,510.6101135712141,278657.0,23.0,0,149999.99999999994
Полянка, Большая Полянка,3,8,56.0,2,https://www.cian.ru/rent/flat/317620175/,55.7420284,37.6163591,471.0577398690783,327389.0,28.0,0,149999.99999999994
Пятницкое шоссе,Митинская ,14,17,50.8,2,https://www.cian.ru/rent/flat/317575801/,55.8526544,37.3541458,406.2101934213649,62375.0,25.4,0,74999.99999999996
Панфиловская, Зорге,9,16,50.0,2,https://www.cian.ru/rent/flat/317611693/,55.795789,37.5044594,511.74754563565847,125804.0,25.0,0,69999.99999999994
Красные ворота,Малый Козловский переулок,1,4,130.0,3,https://www.cian.ru/rent/flat/317607392/,55.7645773,37.6481427,271.5230058302245,183675.0,43.333333333333336,1,299999.9999999999
Бульвар Рокоссовского,Тагильская ,3,24,34.5,1,https://www.cian.ru/rent/flat/317612062/,55.8180614,37.7482374,956.2587228603828,65639.0,34.5,0,80999.99999999994
Матвеевская,Веерная ,10,12,66.7,2,https://www.cian.ru/rent/flat/317600820/,55.7092095,37.4759253,1526.8407734889818,97264.0,33.35,0,79999.99999999994
Грачёвская,Ангарская ,10,17,53.0,2,https://www.cian.ru/rent/flat/317620872/,55.8757069,37.5199753,1658.388635671086,71608.0,26.5,0,69999.99999999994
Бауманская,Переведеновский переулок,2,12,38.8,1,https://www.cian.ru/rent/flat/317624208/,55.779522,37.6906136,856.1745223814556,183675.0,38.8,0,89999.99999999997
Новаторская,Ленинский проспект,8,8,71.0,3,https://www.cian.ru/rent/flat/317600378/,55.6743212,37.5262455,546.9098530265121,98222.0,23.666666666666668,0,100000.00000000001
Текстильщики,Саратовская ,20,23,65.0,2,https://www.cian.ru/rent/flat/317601233/,55.7174229,37.7494686,1149.763665310158,70650.0,32.5,0,74999.99999999996
Физтех,9-я Северная линия,7,17,38.0,1,https://www.cian.ru/rent/flat/317615246/,55.9348493,37.5543369,1655.4634866449867,61753.0,38.0,0,50000.00000000001
Октябрьское поле, Маршала Вершинина,5,5,35.0,1,https://www.cian.ru/rent/flat/317600912/,55.791674,37.4877635,413.2920350688135,115591.0,35.0,0,44999.999999999985
