underground,street,floor,floors_count,total_meters,rooms_count,url,lat,lon,metro_distance_m,average_price,meters_per_room,is_large_apartment,price_log
Смоленская,Смоленская набережная,7,11,120.0,2,https://www.cian.ru/rent/flat/317623035/,55.7477417,37.5768408,344.93580163745685,415029.0,60.0,1,179999.99999999997
Молодёжная, Академика Павлова,26,33,22.0,1,https://www.cian.ru/rent/flat/317613807/,55.7447399,37.4068707,762.4489031474869,92109.0,22.0,0,65000.00000000002
Аэропорт,Красноармейская ,8,9,45.0,2,https://www.cian.ru/rent/flat/317614421/,55.7983228,37.5464681,878.9468313372299,175527.0,22.5,0,65000.00000000002
Отрадное, Декабристов,2,14,38.7,1,https://www.cian.ru/rent/flat/317614229/,55.867087,37.5907348,970.7132265490072,64371.0,38.7,0,54999.99999999995
Кантемировская,Кантемировская ,16,17,38.0,1,https://www.cian.ru/rent/flat/317576763/,55.6398779,37.6581971,467.906639179888,80239.0,38.0,0,49000.0
Грачёвская,Клинская ,8,9,42.0,2,https://www.cian.ru/rent/flat/317611445/,55.8654827,37.5041669,1738.8183251408016,69003.0,21.0,0,53000.000000000015
Технопарк,проспект Лихачева,10,15,80.0,3,https://www.cian.ru/rent/flat/317603594/,55.6889346,37.6556033,861.1324506915992,122875.0,26.666666666666668,0,139999.9999999999
Трикотажная,Волоколамское шоссе,15,25,70.0,3,https://www.cian.ru/rent/flat/317600825/,55.825469,37.412051,1557.1294555560537,124769.0,23.333333333333332,0,149999.99999999994
Нагатинский Затон,Коломенская набережная,6,17,54.0,2,https://www.cian.ru/rent/flat/317607213/,55.6792493,37.7038766,588.8477898271913,69817.0,27.0,0,69999.99999999994
Беговая, Маргелова,2,25,62.0,2,https://www.cian.ru/rent/flat/317606629/,55.7775244,37.5410282,550.5799789164896,126602.0,31.0,0,130000.00000000006
Некрасовка, Недорубова,4,22,32.4,1,https://www.cian.ru/rent/flat/317613368/,55.707932,37.9333435,650.5100755724993,53334.0,32.4,0,54999.99999999995
Бунинская аллея, Академика Семенова,3,9,40.0,1,https://www.cian.ru/rent/flat/317623284/,55.537329,37.4803175,1881.927034793673,53788.0,40.0,0,44999.999999999985
Моссельмаш,Флотская ,15,17,42.0,2,https://www.cian.ru/rent/flat/317620493/,55.8576612,37.506907,1953.6020958045929,69003.0,21.0,0,69999.99999999994
Петровский Парк,Красноармейская ,7,8,30.0,1,https://www.cian.ru/rent/flat/317619138/,55.7975007,37.5480218,852.6913101275536,175527.0,30.0,0,67000.00000000001
Жулебино, Маршала Полубоярова,9,12,40.0,1,https://www.cian.ru/rent/flat/317619576/,55.6877781,37.8636113,525.1652344840594,58794.0,40.0,0,54999.99999999995
Физтех,бульвар Академика Ландау,7,8,41.0,1,https://www.cian.ru/rent/flat/317576959/,55.9205306,37.549693,219.1974361844273,61753.0,41.0,0,69999.99999999994
Новогиреево,Фрязевская ,3,12,36.0,1,https://www.cian.ru/rent/flat/317605051/,55.7454091,37.8180191,706.057977001382,58190.0,36.0,0,44999.999999999985
Юго-Восточная,Ферганская ,2,12,65.7,3,https://www.cian.ru/rent/flat/317615847/,55.7103115,37.8056771,977.9528194816952,58794.0,21.900000000000002,0,74999.99999999996
Алтуфьево,Алтуфьевское шоссе,22,22,60.0,2,https://www.cian.ru/rent/flat/317605155/,55.8913268,37.5855134,748.7919047215051,60458.0,30.0,0,74999.99999999996
Стрешнево,Большой Волоколамский проезд,16,18,41.4,2,https://www.cian.ru/rent/flat/317582139/,55.8087376,37.4884134,549.6240571993643,115591.0,20.7,0,139999.9999999999
Окская,Окская ,9,30,45.0,3,https://www.cian.ru/rent/flat/317582600/,55.7165446,37.7690857,825.1389523175059,70650.0,15.0,0,79999.99999999994
Бульвар Рокоссовского,Погонный проезд,5,5,25.0,1,https://www.cian.ru/rent/flat/317603939/,55.8203405,37.7131395,1332.0249156059651,70824.0,25.0,0,50000.00000000001
Яхромская,Коровинское шоссе,5,12,70.0,3,https://www.cian.ru/rent/flat/317604428/,55.8745018,37.5290257,1188.1119116813506,61162.0,23.333333333333332,0,74999.99999999996
Щукинская,Авиационная ,10,26,55.0,2,https://www.cian.ru/rent/flat/317600142/,55.8091871,37.4563353,491.2176682525249,115591.0,27.5,0,74999.99999999996
Стрешнево,Волоколамское шоссе,13,22,24.0,1,https://www.cian.ru/rent/flat/317603941/,55.8123849,37.4840145,225.8947763306836,115591.0,24.0,0,65000.00000000002
Ленинский проспект,Ленинский проспект,6,6,58.0,2,https://www.cian.ru/rent/flat/317598151/,55.7102828,37.5856372,289.02783285040067,111681.0,29.0,0,109999.99999999991
Бульвар Рокоссовского,Ивантеевская ,5,5,42.0,2,https://www.cian.ru/rent/flat/317578478/,55.821389,37.7158634,1354.354079660117,70824.0,21.0,0,65000.00000000002
Химки,Куркинское шоссе,2,4,60.0,2,https://www.cian.ru/rent/flat/317597199/,55.8843863,37.3955812,3672.035536682586,82895.0,30.0,0,69999.99999999994
Гольяново,Сахалинская ,10,14,39.0,1,https://www.cian.ru/rent/flat/317596018/,55.829031,37.8160791,2444.930761003887,62738.0,39.0,0,44999.999999999985
Коптево,Большая Академическая ,5,18,88.0,3,https://www.cian.ru/rent/flat/317598383/,55.8354316,37.5355317,1066.1134467622453,67042.0,29.333333333333332,1,109999.99999999991
Баррикадная,Большая Грузинская ,5,9,37.0,1,https://www.cian.ru/rent/flat/317576812/,55.7658329,37.5793119,515.9507385767103,278657.0,37.0,0,89999.99999999997
Коптево,бульвар Матроса Железняка,5,14,56.0,2,https://www.cian.ru/rent/flat/317605406/,55.8345684,37.5284195,765.0094561185111,67042.0,28.0,0,74999.00000000001
Окружная,Гостиничная ,1,5,20.0,1,https://www.cian.ru/rent/flat/317622883/,55.8457599,37.5825732,489.9361967253683,60378.0,20.0,0,53999.99999999999
Щёлковская,Алтайская ,4,14,39.1,1,https://www.cian.ru/rent/flat/317623947/,55.8211575,37.8335273,2551.0711689676364,62738.0,39.1,0,41999.99999999998
Алтуфьево, Лескова,9,12,45.0,2,https://www.cian.ru/rent/flat/317622124/,55.8991311,37.5986959,742.4091928037337,58013.0,22.5,0,69999.99999999994
Озёрная, Малая Очаковская,22,33,21.0,1,https://www.cian.ru/rent/flat/317596019/,55.6656555,37.4382324,899.2212771879232,97264.0,21.0,0,60000.00000000002
Менделеевская, Палиха,4,5,56.0,2,https://www.cian.ru/rent/flat/317595969/,55.7857208,37.5987446,545.984115096595,243014.0,28.0,0,108999.99999999994
Тверская,Трехпрудный переулок,6,6,67.0,3,https://www.cian.ru/rent/flat/317578626/,55.7653908,37.5975972,536.3084513108084,243014.0,22.333333333333332,0,249999.99999999983
Серебряный Бор,проспект Маршала Жукова,33,48,110.0,3,https://www.cian.ru/rent/flat/317619169/,55.7800636,37.4500583,2265.02813406573,102401.0,36.666666666666664,1,179999.99999999997
Сходненская,Лодочная ,2,5,30.0,1,https://www.cian.ru/rent/flat/317598615/,55.8418115,37.4632451,1486.394966510758,66085.0,30.0,0,50000.00000000001
Парк Культуры,Фрунзенская набережная,2,7,61.1,2,https://www.cian.ru/rent/flat/317613351/,55.7332111,37.5951392,272.4383726605192,451484.0,30.55,0,120000.00000000006
Бескудниково, 800-летия Москвы,4,9,44.2,2,https://www.cian.ru/rent/flat/317579389/,55.8808109,37.562834,1095.8169795831827,56905.0,22.1,0,79999.99999999994
Преображенская площадь, Богородский Вал,5,14,66.5,3,https://www.cian.ru/rent/flat/317618295/,55.8016957,37.7060185,815.4348610318056,69782.0,22.166666666666668,0,69999.99999999994
Лианозово,Карельский бульвар,3,5,33.0,1,https://www.cian.ru/rent/flat/317577893/,55.8966023,37.5379826,480.9968302251926,61162.0,33.0,0,39999.99999999997
Беговая,Хорошевское шоссе,20,27,75.0,3,https://www.cian.ru/rent/flat/317603418/,55.7749222,37.5509291,287.6743769885685,126602.0,25.0,0,180499.99999999988
Солнцево,Производственная ,2,16,38.0,1,https://www.cian.ru/rent/flat/317623438/,55.6457594,37.3855311,519.2768628276843,61958.0,38.0,0,65000.00000000002
Партизанская,Сиреневый бульвар,21,23,45.0,1,https://www.cian.ru/rent/flat/317597021/,55.7996596,37.7633172,1184.176459287988,72130.0,45.0,0,60000.00000000002
Тушинская,Волоколамское шоссе,2,5,32.0,1,https://www.cian.ru/rent/flat/317621843/,55.8253704,37.4326835,297.4469400431702,124769.0,32.0,0,44999.999999999985
Строгино, Кулакова,6,12,46.0,2,https://www.cian.ru/rent/flat/317623955/,55.810145,37.3964521,820.2561949360841,70897.0,23.0,0,60000.00000000002
Водный стадион,Флотская ,9,11,38.0,1,https://www.cian.ru/rent/flat/317598624/,55.8546337,37.5013264,1580.1205111600402,69003.0,38.0,0,60000.00000000002
Москва-Сити,1-й Красногвардейский проезд,46,68,75.0,2,https://www.cian.ru/rent/flat/317598439/,55.7510862,37.5337195,310.41491030113497,278657.0,37.5,0,430000.0000000002
Ботанический сад,Березовая аллея,10,18,50.0,3,https://www.cian.ru/rent/flat/317619015/,55.8490682,37.6242682,993.935017656694,85965.0,16.666666666666668,0,89999.99999999997
Серпуховская,Мытная ,8,14,74.0,3,https://www.cian.ru/rent/flat/317582793/,55.7221758,37.6186542,702.3844071197434,285242.0,24.666666666666668,0,190000.00000000012
Баррикадная,Малая Никитская ,4,7,113.0,2,https://www.cian.ru/rent/flat/317608584/,55.7582444,37.5948551,975.3776289567668,278657.0,56.5,1,350000.0000000001
Медведково,Тайнинская ,4,25,36.4,1,https://www.cian.ru/rent/flat/317576518/,55.8832224,37.6830117,1429.0211385023931,55704.0,36.4,0,69999.99999999994
Окская,Мещерский переулок,5,5,54.0,3,https://www.cian.ru/rent/flat/317623533/,55.7158202,37.7782981,376.1612821173493,70650.0,18.0,0,65000.00000000002
Черкизовская,Тагильская ,13,31,31.0,1,https://www.cian.ru/rent/flat/317601398/,55.8162947,37.7582995,1521.187457632824,65639.0,31.0,0,69999.99999999994
Коньково,Профсоюзная ,3,17,37.0,1,https://www.cian.ru/rent/flat/317597681/,55.6291336,37.5198,468.1232776763868,73135.0,37.0,0,44999.999999999985
ЗИЛ,Автозаводская ,3,4,40.0,1,https://www.cian.ru/rent/flat/317613599/,55.7034806,37.639976,778.8408262274125,122875.0,40.0,0,60000.00000000002
Смоленская,Малый Новопесковский переулок,4,11,135.0,2,https://www.cian.ru/rent/flat/317611597/,55.7497379,37.5775714,394.8782231610764,415029.0,67.5,1,359999.99999999994
Молодёжная, Академика Павлова,7,12,42.0,2,https://www.cian.ru/rent/flat/317598130/,55.7460961,37.4089928,766.8888448362264,92109.0,21.0,0,68999.99999999994
Щёлковская,Щелковское шоссе,14,14,54.0,2,https://www.cian.ru/rent/flat/317603975/,55.8101414,37.8106949,762.8162562058851,52960.0,27.0,0,69999.99999999994
Медведково,Широкая ,15,17,38.0,1,https://www.cian.ru/rent/flat/317590210/,55.8899809,37.6556171,471.5004320672583,57621.0,38.0,0,53000.000000000015
Новогиреево, Старый Гай,6,9,33.0,1,https://www.cian.ru/rent/flat/317603414/,55.7411444,37.8312241,1491.5203228044577,51547.0,33.0,0,49500.00000000002
Ховрино,Петрозаводская ,6,9,45.0,2,https://www.cian.ru/rent/flat/317577084/,55.8707281,37.4891926,970.8086118312012,69003.0,22.5,0,39999.99999999997
Преображенская площадь,Суворовская ,5,5,61.0,2,https://www.cian.ru/rent/flat/317582013/,55.7886803,37.7100757,874.0694394695483,69782.0,30.5,0,120000.00000000006
Планерная, Героев Панфиловцев,4,12,40.0,1,https://www.cian.ru/rent/flat/317606238/,55.8581413,37.4112047,1603.220241023885,58103.0,40.0,0,50000.00000000001
Некрасовка, Недорубова,4,22,32.4,1,https://www.cian.ru/rent/flat/317615783/,55.707932,37.9333435,650.5100755724993,53334.0,32.4,0,54999.99999999995
Новогиреево,Напольный проезд,12,16,74.7,3,https://www.cian.ru/rent/flat/317592449/,55.7577206,37.8218693,747.5189474003087,58190.0,24.900000000000002,0,69999.99999999994
Терехово , Нижние Мневники,2,15,42.0,2,https://www.cian.ru/rent/flat/317605591/,55.7515466,37.4526279,564.6786511967518,102401.0,21.0,0,124999.99999999991
Шелепиха,Шмитовский проезд,14,14,42.0,1,https://www.cian.ru/rent/flat/317592042/,55.7549895,37.5223369,346.55499338863297,278657.0,42.0,0,34999.99999999997
Алексеевская,Большая Марьинская ,4,5,31.0,1,https://www.cian.ru/rent/flat/317616455/,55.8095295,37.6344046,299.35991457914184,85965.0,31.0,0,78000.00000000004
Бульвар Адмирала Ушакова, Адмирала Лазарева,14,14,66.0,2,https://www.cian.ru/rent/flat/317603696/,55.5455789,37.5339718,465.9323391409352,53788.0,33.0,0,60000.00000000002
Солнцево,Производственная ,14,20,37.6,1,https://www.cian.ru/rent/flat/317603189/,55.6457594,37.3855311,519.2768628276843,61958.0,37.6,0,60000.00000000002
Улица Скобелевская,бульвар Адмирала Ушакова,12,17,39.0,1,https://www.cian.ru/rent/flat/317593130/,55.5468974,37.5523685,194.3340079035753,53788.0,39.0,0,44999.999999999985
Щёлковская,Сиреневый бульвар,4,9,50.0,2,https://www.cian.ru/rent/flat/317583367/,55.8023291,37.8236901,1744.305576439904,57312.0,25.0,0,65000.00000000002
Багратионовская,Барклая ,2,24,50.0,2,https://www.cian.ru/rent/flat/317605116/,55.7407159,37.5065589,653.8286582314081,129674.0,25.0,0,130000.00000000006
Щукинская, Маршала Бирюзова,12,14,37.0,1,https://www.cian.ru/rent/flat/317597703/,55.801608,37.4786627,1199.9642982332582,115591.0,37.0,0,72000.00000000004
Планерная, Вилиса Лациса,2,19,36.5,1,https://www.cian.ru/rent/flat/317614441/,55.8631182,37.4256608,724.3343664859624,58103.0,36.5,0,50000.00000000001
Улица Академика Королёва, Академика Королева,8,8,99.5,3,https://www.cian.ru/rent/flat/317621542/,55.8193739,37.610191,281.9793244375905,85965.0,33.166666666666664,1,159999.9999999999
Университет Дружбы Народов, Академика Волгина,6,9,35.0,1,https://www.cian.ru/rent/flat/317610014/,55.6437864,37.5095295,527.8275679465517,73135.0,35.0,0,69999.99999999994
Щукинская,Волоколамское шоссе,5,5,33.0,1,https://www.cian.ru/rent/flat/317608221/,55.820202,37.4618904,1299.1548575354288,124769.0,33.0,0,44999.999999999985
Бунинская аллея,Южнобутовская ,3,9,121.0,3,https://www.cian.ru/rent/flat/317597342/,55.5345981,37.5260877,751.8994564813894,53788.0,40.333333333333336,1,95000.00000000006
Перово,Перовская ,9,12,42.0,1,https://www.cian.ru/rent/flat/317583586/,55.7465974,37.7764492,810.9472817033476,59831.0,42.0,0,50000.00000000001
Медведково,Ярославское шоссе,3,4,35.0,1,https://www.cian.ru/rent/flat/317597637/,55.8737398,37.7165152,3297.9749839676138,55752.0,35.0,0,42999.99999999997
Текстильщики,Люблинская ,4,5,30.0,1,https://www.cian.ru/rent/flat/317624210/,55.7108719,37.7324489,236.76963684447725,62434.0,30.0,0,59699.999999999985
Электрозаводская,Семеновская набережная,7,11,88.0,3,https://www.cian.ru/rent/flat/317582005/,55.78013,37.7060176,227.3800847648188,183675.0,29.333333333333332,1,85000.0
Улица Академика Янгеля, Академика Янгеля,7,22,45.0,2,https://www.cian.ru/rent/flat/317616900/,55.5948055,37.5953586,318.00361862379526,61479.0,22.5,0,74999.99999999996
Аминьевская,Большая Очаковская ,14,30,52.0,3,https://www.cian.ru/rent/flat/317616991/,55.6924617,37.4666244,549.131880130423,97264.0,17.333333333333332,0,115000.00000000009
Москва-Сити,1-й Красногвардейский проезд,37,68,60.0,2,https://www.cian.ru/rent/flat/317620444/,55.7510862,37.5337195,310.41491030113497,278657.0,30.0,0,230000.0000000002
Нагорная,Электролитный проезд,17,23,58.0,2,https://www.cian.ru/rent/flat/317595360/,55.6701501,37.6219657,769.6344631638927,73333.0,29.0,0,109999.99999999991
Бутырская, Руставели,4,32,44.0,1,https://www.cian.ru/rent/flat/317608206/,55.8122999,37.5997512,221.20988020572685,88896.0,44.0,0,105000.00000000004
Аминьевская,Матвеевская ,10,14,38.8,1,https://www.cian.ru/rent/flat/317591874/,55.7066522,37.4637091,1052.82640534086,97264.0,38.8,0,50000.00000000001
Сходненская,Лодочная ,1,5,46.0,2,https://www.cian.ru/rent/flat/317580497/,55.8418115,37.4632451,1486.394966510758,66085.0,23.0,0,47999.99999999998
Алтуфьево,Алтуфьевское шоссе,3,22,40.0,1,https://www.cian.ru/rent/flat/317610626/,55.9024552,37.5891883,514.5827164767613,58013.0,40.0,0,50000.00000000001
Шелепиха,Причальный проезд,25,35,37.5,1,https://www.cian.ru/rent/flat/317598274/,55.7606072,37.5160208,693.7901848712316,102401.0,37.5,0,139999.9999999999
Кленовый бульвар,Затонная ,1,5,48.0,2,https://www.cian.ru/rent/flat/317596683/,55.6798438,37.6874169,515.0672327751104,69817.0,24.0,0,60000.00000000002
Проспект Вернадского, Коштоянца,4,5,40.0,2,https://www.cian.ru/rent/flat/317613112/,55.6792261,37.4939189,798.8269464097285,100671.0,20.0,0,60000.00000000002
Измайлово,Борисовская ,12,12,45.8,2,https://www.cian.ru/rent/flat/317611052/,55.7935828,37.7351169,734.8834316165298,68460.0,22.9,0,65000.00000000002
Бауманская,Нижняя Красносельская ,2,6,30.0,1,https://www.cian.ru/rent/flat/317592925/,55.7747789,37.6741134,452.7014987583415,183675.0,30.0,0,79999.99999999994
Филёвский парк, Герасима Курина,1,8,30.0,1,https://www.cian.ru/rent/flat/317578966/,55.7336829,37.4872875,704.8033582951578,93407.0,30.0,0,44999.999999999985
Белорусская,Бумажный проезд,12,20,58.0,2,https://www.cian.ru/rent/flat/317598392/,55.786671,37.5864926,682.9664658828573,176491.0,29.0,0,210000.0000000001
Моссельмаш,Коровинское шоссе,4,14,39.0,1,https://www.cian.ru/rent/flat/317607110/,55.8698488,37.5310609,1208.614302162708,71608.0,39.0,0,50000.00000000001
Киевская,Ростовская набережная,9,9,75.0,2,https://www.cian.ru/rent/flat/317592417/,55.7425358,37.5754396,692.0470321890599,451484.0,37.5,0,170000.0
Перово,Кусковская ,4,9,38.0,2,https://www.cian.ru/rent/flat/317604474/,55.7403356,37.780119,1265.7068912163377,58190.0,19.0,0,54999.99999999995
Варшавская,Ялтинская ,11,14,85.0,3,https://www.cian.ru/rent/flat/317606674/,55.650346,37.6095385,702.5424993279457,73333.0,28.333333333333332,1,95000.00000000006
Балтийская,Ленинградское шоссе,5,5,56.8,2,https://www.cian.ru/rent/flat/317593677/,55.8310882,37.4906589,680.3940216039014,95070.0,28.4,0,85000.0
Аминьевская, Лобачевского,12,25,49.2,2,https://www.cian.ru/rent/flat/317622587/,55.6890741,37.4714222,749.3137143083989,97264.0,24.6,0,89999.99999999997
Химки,Ландышевая ,7,9,45.0,1,https://www.cian.ru/rent/flat/317594099/,55.8844134,37.3882982,3781.6572239220295,82895.0,45.0,0,60000.00000000002
Водный стадион,Головинское шоссе,2,16,49.7,2,https://www.cian.ru/rent/flat/317596350/,55.8376687,37.491496,382.88149731712537,95070.0,24.85,0,88000.00000000001
Автозаводская, Трофимова,7,8,34.0,1,https://www.cian.ru/rent/flat/317580623/,55.7036648,37.6735367,837.4891004167292,98953.0,34.0,0,50000.00000000001
Полянка, Большая Полянка,3,9,54.0,2,https://www.cian.ru/rent/flat/317617532/,55.7420284,37.6163591,471.0577398690783,327389.0,27.0,0,149999.99999999994
Ховрино,Ижорская ,7,17,33.9,1,https://www.cian.ru/rent/flat/317579801/,55.8821125,37.5029022,1338.357615767583,71608.0,33.9,0,62900.00000000005
Бескудниково,Стандартная ,2,9,42.0,2,https://www.cian.ru/rent/flat/317609450/,55.8821039,37.5735167,1776.691889442286,56500.0,21.0,0,69999.99999999994
Солнцево, Юлиана Семенова,6,14,36.0,1,https://www.cian.ru/rent/flat/317618726/,55.6445574,37.3928013,541.4184982040497,61958.0,36.0,0,74999.99999999996
Некрасовка, Вертолетчиков,10,17,38.0,1,https://www.cian.ru/rent/flat/317575566/,55.7023918,37.9400953,871.4734088989086,53334.0,38.0,0,49000.0
Фили,Береговой проезд,11,21,47.0,2,https://www.cian.ru/rent/flat/317622549/,55.7558595,37.5090193,1056.907856359068,129674.0,23.5,0,130000.00000000006
Полежаевская,Хорошевское шоссе,7,9,45.0,2,https://www.cian.ru/rent/flat/317602158/,55.7795364,37.5250817,410.3879268116939,126602.0,22.5,0,115000.00000000009
Достоевская,Олимпийский проспект,9,16,38.0,1,https://www.cian.ru/rent/flat/317595840/,55.7873999,37.6228262,807.4418302006812,207623.0,38.0,0,60000.00000000002
Народное Ополчение,Карамышевская набережная,16,20,51.0,1,https://www.cian.ru/rent/flat/317602594/,55.7692177,37.4726728,895.537534414423,102401.0,51.0,0,99000.00000000004
Сетунь,Беловежская ,7,10,63.0,3,https://www.cian.ru/rent/flat/317578587/,55.7124681,37.3927076,3498.812006179006,105020.0,21.0,0,89999.99999999997
Печатники, Гурьянова,5,17,100.0,3,https://www.cian.ru/rent/flat/317623356/,55.6931463,37.7224395,288.1792969631076,63548.0,33.333333333333336,1,109999.99999999991
Ботанический сад,Березовая аллея,10,17,33.0,1,https://www.cian.ru/rent/flat/317611949/,55.8490682,37.6242682,993.935017656694,85965.0,33.0,0,60000.00000000002
Дмитровская,Новодмитровская ,12,38,37.0,1,https://www.cian.ru/rent/flat/317617640/,55.8053598,37.5896259,525.7443206413307,88896.0,37.0,0,95000.00000000006
Выхино,Вешняковская ,4,9,43.2,2,https://www.cian.ru/rent/flat/317585232/,55.7238465,37.8318397,1260.3676361792184,51547.0,21.6,0,60000.00000000002
ЗИЛ,бульвар Братьев Весниных,5,17,42.0,2,https://www.cian.ru/rent/flat/317608193/,55.6988756,37.6386166,612.23114845155,122875.0,21.0,0,200000.00000000006
Селигерская,Коровинское шоссе,2,14,40.0,1,https://www.cian.ru/rent/flat/317612771/,55.8647503,37.5418529,406.6723454349672,71608.0,40.0,0,65000.00000000002
Медведково,Тайнинская ,6,17,60.0,2,https://www.cian.ru/rent/flat/317615988/,55.8843358,37.6821509,1343.185710886252,55704.0,30.0,0,74999.99999999996
Коньково,Профсоюзная ,16,18,47.0,2,https://www.cian.ru/rent/flat/317598172/,55.6301729,37.5145921,437.5561880948633,76364.0,23.5,0,79999.99999999994
Пятницкое шоссе,Пятницкое шоссе,16,17,75.0,3,https://www.cian.ru/rent/flat/317610082/,55.8565183,37.350702,232.85516922769835,62375.0,25.0,0,95000.00000000006
Улица Академика Янгеля,Варшавское шоссе,11,25,48.0,2,https://www.cian.ru/rent/flat/317594169/,55.5891121,37.602582,658.9138473201482,61479.0,24.0,0,65000.00000000002
Пятницкое шоссе,Муравская ,20,32,51.0,3,https://www.cian.ru/rent/flat/317598407/,55.8627672,37.3723977,1337.3841597949258,62375.0,17.0,0,85000.0
Улица Скобелевская,бульвар Адмирала Ушакова,9,22,40.0,1,https://www.cian.ru/rent/flat/317603855/,55.5470018,37.5548825,123.55995287321464,53788.0,40.0,0,54999.99999999995
Братиславская,Перервинский бульвар,12,12,42.0,1,https://www.cian.ru/rent/flat/317581700/,55.6546884,37.7749227,1635.389663676296,65291.0,42.0,0,47000.00000000002
Новаторская,Ленинский проспект,16,19,40.0,2,https://www.cian.ru/rent/flat/317578482/,55.6661276,37.5113797,790.9242113975719,100671.0,20.0,0,89999.99999999997
Алма-Атинская,Ключевая ,14,17,39.0,1,https://www.cian.ru/rent/flat/317617805/,55.6323598,37.7626359,213.563994815062,55829.0,39.0,0,50000.00000000001
Рабочий посёлок,Партизанская ,3,4,74.0,3,https://www.cian.ru/rent/flat/317595503/,55.7314885,37.4098879,1123.9687936705682,92109.0,24.666666666666668,0,100000.00000000001
Варшавская,Старокаширское шоссе,9,14,42.0,1,https://www.cian.ru/rent/flat/317606919/,55.6604995,37.6300113,1043.3689385367998,85299.0,42.0,0,54999.99999999995
Павелецкая,Стремянный переулок,3,9,34.0,1,https://www.cian.ru/rent/flat/317608259/,55.7279562,37.6352678,321.8137390433978,285242.0,34.0,0,85000.0
Москва-Сити,1-й Красногвардейский проезд,38,85,101.0,2,https://www.cian.ru/rent/flat/317578788/,55.7500448,37.5345516,198.52385522399445,278657.0,50.5,1,314999.99999999994
Давыдково,Гжатская ,5,15,70.0,3,https://www.cian.ru/rent/flat/317617910/,55.7148545,37.4336036,1138.4581148122709,105020.0,23.333333333333332,0,149999.99999999994
Водный стадион,Кронштадтский бульвар,29,33,32.0,1,https://www.cian.ru/rent/flat/317603413/,55.8418998,37.4969736,684.7752347593039,75782.0,32.0,0,86999.99999999997
Достоевская,1-й Самотечный переулок,4,15,63.5,2,https://www.cian.ru/rent/flat/317599736/,55.7772066,37.6096794,525.6143322009378,243014.0,31.75,0,149999.99999999994
Варшавская,Ялтинская ,3,9,35.0,1,https://www.cian.ru/rent/flat/317618369/,55.6485377,37.6105632,768.5105769913164,73333.0,35.0,0,74999.99999999996
Пролетарская, Симоновский Вал,3,9,36.0,1,https://www.cian.ru/rent/flat/317576464/,55.7231963,37.6645696,881.9509640757199,98953.0,36.0,0,74999.99999999996
Жулебино, Авиаконструктора Миля,15,17,60.0,2,https://www.cian.ru/rent/flat/317615742/,55.6813569,37.8560952,461.4562879307284,58794.0,30.0,0,57000.000000000044
Красные ворота,Малый Козловский переулок,1,4,125.0,3,https://www.cian.ru/rent/flat/317582572/,55.7645773,37.6481427,271.5230058302245,183675.0,41.666666666666664,1,299999.9999999999
Медведково,Тайнинская ,6,17,60.0,2,https://www.cian.ru/rent/flat/317608129/,55.8843358,37.6821509,1343.185710886252,55704.0,30.0,0,74999.99999999996
Озёрная,Озерная ,16,24,40.4,1,https://www.cian.ru/rent/flat/317578336/,55.669066,37.4483631,209.38845421243377,78074.0,40.4,0,92000.0
Беломорская,Левобережная ,24,25,60.0,2,https://www.cian.ru/rent/flat/317624328/,55.8693209,37.4797249,443.8532722308921,69003.0,30.0,0,120000.00000000006
Пятницкое шоссе,Муравская ,22,26,50.0,3,https://www.cian.ru/rent/flat/317601684/,55.8611188,37.372385,1247.4922214430762,62375.0,16.666666666666668,0,69999.99999999994
Новопеределкино,Новоорловская ,13,14,40.0,1,https://www.cian.ru/rent/flat/317607218/,55.636465,37.3608936,500.3858488321601,63075.0,40.0,0,63000.00000000004
Поклонная, Пырьева,15,16,51.0,2,https://www.cian.ru/rent/flat/317612356/,55.7285615,37.5279687,1048.7563742820685,196953.0,25.5,0,100000.00000000001
Шелепиха,Шелепихинская набережная,8,9,40.0,2,https://www.cian.ru/rent/flat/317622577/,55.7582219,37.5179092,489.4900073930402,278657.0,20.0,0,69999.99999999994
Отрадное, Пестеля,3,9,65.0,3,https://www.cian.ru/rent/flat/317596253/,55.8661581,37.6144236,686.9500892141126,64371.0,21.666666666666668,0,79999.99999999994
Щербинка, Захарьинские Дворики,3,16,38.0,1,https://www.cian.ru/rent/flat/317607290/,55.5018987,37.5751534,5251.874711583343,53788.0,38.0,0,34999.99999999997
Зюзино, Каховка,5,5,45.0,2,https://www.cian.ru/rent/flat/317620181/,55.6569212,37.5750084,195.69753290215843,67293.0,22.5,0,65000.00000000002
Некрасовка,Рождественская ,6,17,40.0,1,https://www.cian.ru/rent/flat/317595458/,55.7032289,37.9316718,334.00204935510993,53334.0,40.0,0,50000.00000000001
Новаторская, Академика Пилюгина,12,18,40.0,1,https://www.cian.ru/rent/flat/317578484/,55.6690557,37.5381781,1028.666195807072,98222.0,40.0,0,60000.00000000002
Медведково,Широкая ,2,9,33.0,1,https://www.cian.ru/rent/flat/317622362/,55.8883814,37.6508053,669.7333869116648,57621.0,33.0,0,74999.99999999996
Зябликово,Гурьевский проезд,15,17,39.0,1,https://www.cian.ru/rent/flat/317604109/,55.6101985,37.7585384,869.5118815609761,58610.0,39.0,0,41999.99999999998
